best_val_f1,epochs_completed,experiment,seed,test_f1,test_iou,test_oa,test_precision,test_recall
0.812362,35,BiT_GWDA,2025,0.8325869254686344,0.7131897253098725,0.9499217288594647,0.7451303147949768,0.9433033999073762
0.811303,45,BiT_GWDA,3407,0.8899512920538161,0.8017228212724549,0.9693100620323296,0.8449428863256657,0.9400246153043148
0.816014,63,BiT_GWDA,9001,0.9224475934874801,0.8560583046007108,0.9790232483769596,0.9009172318531031,0.9450323320069052
0.813953,44,BiT_GWDA_shuffled,42,0.9178961651512586,0.8482515521611563,0.9777859969877651,0.8962351806091254,0.9406302299380481
0.818449,45,BiT_GWDA_shuffled,1337,0.9106560327864264,0.835967473921887,0.9756875911228884,0.8843307334206284,0.9385968625253254
0.813836,35,BiT_GWDA_shuffled,2025,0.8442097727119688,0.7304178892640344,0.9539545623349267,0.7628093265772813,0.945058379948141
0.808371,45,BiT_GWDA_shuffled,3407,0.9207094601000688,0.8530692327028536,0.9787715858136894,0.9081295753503262,0.933642869701534
0.816714,63,BiT_GWDA_shuffled,9001,0.9248643052825074,0.8602303902878966,0.9799084730551066,0.9133114600048392,0.9367132707747087
0.811108,66,BiT_GWDA_random,42,0.8054095399836154,0.6742140082903954,0.9410518592511903,0.7137274477284318,0.9241174631908526
0.817096,45,BiT_GWDA_random,1337,0.9074073865951332,0.8305085233815898,0.9747000680842661,0.8777927583823263,0.939090145412479
0.819713,60,BiT_GWDA_random,2025,0.8889562673609014,0.8001092404751409,0.9688544474856746,0.8396816619814139,0.9443746214907002
0.80258,73,BiT_GWDA_random,3407,0.874715464533837,0.7773283340932435,0.9659986898932451,0.851583676918059,0.899139115542009
0.811284,57,BiT_GWDA_random,9001,0.905831390420629,0.8278719327925356,0.9739143479038084,0.8652585179606598,0.950396579905161
0.80517,73,OEP_BiT,42,0.9179393491327742,0.848325313980963,0.9774066763864228,0.8817380220438057,0.9572406764648781
0.821401,56,OEP_BiT,1337,0.9164517748842193,0.8457877978000574,0.9774554615289184,0.897109568813079,0.9366465229252918
0.814891,60,OEP_BiT,2025,0.8677459175500228,0.7663880561455437,0.9620675100406925,0.8038596949115661,0.9426635973507709
0.810684,73,OEP_BiT,3407,0.9184545249672359,0.8492057325072977,0.9778956023739888,0.8951803970356165,0.9429712886566193
0.807809,57,OEP_BiT,9001,0.9246061087543438,0.8597837585307275,0.9797462141009914,0.9089775129610489,0.9407816335964815
0.809801,66,COAST,42,0.9170008415458865,0.8467235885646086,0.9777314092071754,0.9026080210166689,0.9318602137232062
0.825041,39,COAST,1337,0.9100684053163264,0.834977627367513,0.975278612593509,0.8754497376779584,0.9475378183545276
0.814466,45,COAST,2025,0.8873426343319565,0.7974986293761939,0.9691211539254854,0.8558844038000366,0.9212017217687657
0.813612,73,COAST,3407,0.9207341945513681,0.8531117010317125,0.9785474320532361,0.8987498759796205,0.9438211027394385
0.808234,67,COAST,9001,0.9169549616292397,0.846645357737027,0.9782332299460618,0.923695634936215,0.9103120543358573
0.806959,66,COAST_shuffled,42,0.9184228286560104,0.849151540384122,0.978119326309398,0.9042638459813592,0.933032371078819
0.811854,40,COAST_shuffled,1337,0.8973797869867446,0.8138612612290294,0.9708277742627432,0.8376984855113215,0.9662174482132795
0.814953,45,COAST_shuffled,2025,0.8640690461388654,0.7606704710608542,0.9614954129071097,0.80909917590213,0.9270527405688663
0.812607,45,COAST_shuffled,3407,0.9167958575309596,0.8463741172172407,0.9779433129538743,0.9131086360060086,0.9205130793223432
0.812481,57,COAST_shuffled,9001,0.9150630740074761,0.84342522051756,0.976714013327994,0.8824395649917854,0.9501914523679288
0.811546,77,COAST_random,42,0.9209622449464849,0.8535033489845555,0.979247187224891,0.9260848666816585,0.9158960817382905
0.820881,56,COAST_random,1337,0.9147516932294902,0.842896302638179,0.9765358508472503,0.8789112318784897,0.9536395485890231
0.817352,56,COAST_random,2025,0.907510737029118,0.8306816911681298,0.9752573362538304,0.8957957657909134,0.9195362815259992
0.808088,62,COAST_random,3407,0.9176880783480755,0.847896204752357,0.9779770542198294,0.9057247865848356,0.9299717379836077
0.815732,57,COAST_random,9001,0.9180862044392749,0.8485761994041836,0.9774705054054588,0.8827234602663353,0.9564006303600222
0.803985,66,COAST_no_gating,42,0.9215511199295893,0.8545154338621391,0.9791511213275539,0.9155460719867802,0.9276355632540183
0.817906,45,COAST_no_gating,1337,0.9185253432293006,0.8493268242010693,0.9783032914282361,0.9107301178826372,0.9264552659167693
0.822568,56,COAST_no_gating,2025,0.9140276770178909,0.8416676463357305,0.9777124969052388,0.9311986811009746,0.8974785592882242
0.805784,75,COAST_no_gating,3407,0.9177059038716374,0.8479266397173586,0.977354022818531,0.8819306116994802,0.9565064501212928
0.805542,57,COAST_no_gating,9001,0.9236515938529866,0.8581344864022362,0.9793123057190591,0.9005739597654513,0.9479431894400103
0.808689,66,COAST_alpha005_val,42,,,,,
0.820548,39,COAST_alpha005_val,1337,,,,,
0.824657,56,COAST_alpha005_val,2025,,,,,
0.810056,60,COAST_alpha005_val,3407,,,,,
0.809959,57,COAST_alpha005_val,9001,,,,,
0.808903,66,COAST_alpha020_val,42,,,,,
0.818644,39,COAST_alpha020_val,1337,,,,,
0.817477,45,COAST_alpha020_val,2025,,,,,
0.812498,45,COAST_alpha020_val,3407,,,,,
0.807693,53,COAST_alpha020_val,9001,,,,,
