experiment,seed,best_val_f1,epochs_completed,gamma1,gamma2,max_abs_gamma,val_prior_mse,val_prior_pearson_r,test_precision,test_recall,test_f1,test_iou,test_oa,test_prior_mse,test_prior_pearson_r
COAST_shuffled_SPGopt,42,0.801687,66,0.006100385915488005,0.006594864185899496,0.006594864185899496,0.10656645287901668,-0.040224301460282816,0.9056808271292981,0.933229358634415,0.9192486919810122,0.8505645819421543,0.9783557300836058,0.06520325449151053,-0.02528747958177619
COAST_shuffled_SPGopt,1337,0.81047,45,0.007211224175989628,0.0070211999118328094,0.007211224175989628,0.10773850270247055,-0.03225171843416617,0.861534951415644,0.9405504581180134,0.8993103700704609,0.817042730570309,0.9721967670279281,0.07143367973851486,-0.022383120024006067
COAST_shuffled_SPGopt,2025,0.818648,45,0.008985521271824837,0.00803938414901495,0.008985521271824837,0.1055207287861129,0.022059719404750714,0.8386283296766279,0.9203746996345278,0.877601960075418,0.7818991282602713,0.9661093698420787,0.06516871234061013,0.037625286872064984
COAST_shuffled_SPGopt,3407,0.81344,45,0.0064750127494335175,0.006464841775596142,0.0064750127494335175,0.10495113114179191,0.007434395084929047,0.9010799826900316,0.9356062332721854,0.9180185436726793,0.8484606004055782,0.9779405190910883,0.0662998271660066,0.02059163754821786
COAST_shuffled_SPGopt,9001,0.80968,64,0.007601521443575621,0.008446015417575836,0.008446015417575836,0.10801026780726546,-0.08612892366063264,0.8963605421819413,0.950953354649077,0.9228502204013289,0.8567520790858099,0.9790105685381613,0.06291707636604846,0.0006514022776418382
COAST_random_SPGopt,42,0.802374,73,0.007001139223575592,0.007375861052423716,0.007375861052423716,0.08333882234864316,0.0007212601465104552,0.9048893999547958,0.9480278452490267,0.9259564116536071,0.8621219052524488,0.9799849819129411,0.08335329949016303,0.0006551325835656276
COAST_random_SPGopt,1337,0.81488,69,0.00771600566804409,0.008713373914361,0.008713373914361,0.08335257409992865,0.00038773945210853367,0.9049951973819157,0.931065751515513,0.9178453342543466,0.8481647362409575,0.977997041084376,0.08339136671012556,2.3447762627684413e-05
COAST_random_SPGopt,2025,0.814365,45,0.009197564795613289,0.008116473443806171,0.009197564795613289,0.08362414170119722,0.00047256523611642295,0.8552270847044887,0.9222582913851445,0.8874787226065483,0.7977185069611028,0.9691278162136676,0.08364652412038454,0.0008518240421829154
COAST_random_SPGopt,3407,0.810913,73,0.008983045816421509,0.00824701227247715,0.008983045816421509,0.08345918736215364,1.0272160794391261e-05,0.8996106646731297,0.9404251024008159,0.9195651743370012,0.8511066516970549,0.9782818001760354,0.08345337400973683,-0.00026698076512734115
COAST_random_SPGopt,9001,0.812947,59,0.007443360518664122,0.007841465063393116,0.007841465063393116,0.08340187143471281,-0.00027149307292791445,0.9240406130804469,0.921719424600828,0.9228785093021422,0.8568008438344751,0.9796639026050626,0.08340695878149758,0.0005112078046983731
COAST_no_gating_SPGopt,42,0.808424,66,0.0,0.0,0.0,0.06285428723036232,0.6269067748053234,0.9068185303644275,0.9337535734517862,0.9200889173969413,0.852004414807602,0.9785884803449394,0.026527565130045717,0.772152596643174
COAST_no_gating_SPGopt,1337,0.8167,39,0.0,0.0,0.0,0.12316346320055299,0.34280483936737366,0.8624546078454598,0.9554140645857148,0.9065574753234906,0.8290857050826269,0.9739996681750451,0.08434685896819746,0.49265187535765287
COAST_no_gating_SPGopt,2025,0.81507,45,0.0,0.0,0.0,0.05880822569636975,0.6657938094385107,0.83841037960808,0.9272399601464989,0.8805906191513931,0.7866565381028574,0.9668033223756395,0.03535747538569947,0.725499184038853
COAST_no_gating_SPGopt,3407,0.814919,56,0.0,0.0,0.0,0.05954485298213312,0.6650171496780071,0.9145655154402111,0.9122249500203642,0.9133936833119696,0.840593102868778,0.9771633954115108,0.038390376723148455,0.7067827407181262
COAST_no_gating_SPGopt,9001,0.811465,88,0.0,0.0,0.0,0.05677989908194138,0.6721074861522595,0.9009755124540946,0.9338886971469472,0.9171368619295964,0.8469555588364319,0.9777228127062951,0.031912902973487346,0.7458238712313491
